country,year,co2emissions
Malaysia,2023,271390240.0
Malaysia,2024,287150460.0
Malaysia,2025,252511700.0
Malaysia,2026,321056960.0
Malaysia,2027,318526460.0
Malaysia,2028,327110800.0
Malaysia,2029,325256030.0
Malaysia,2030,293401700.0
Mali,2021,2279876.0
Mali,2022,2401174.0
Mali,2023,2462773.5
Mali,2024,2447551.0
Mali,2025,2719349.8
Mali,2026,2668878.5
Mali,2027,2868557.5
Mali,2028,2964011.5
Mali,2029,3024850.5
Mali,2030,3085448.8
Malta,2021,2259952.8
Malta,2022,2241794.5
Malta,2023,2295226.8
Malta,2024,2253613.8
Malta,2025,2250001.5
Malta,2026,2255302.8
Malta,2027,2277147.8
Malta,2028,2317019.5
Malta,2029,2312138.2
Malta,2030,2265005.2
Mauritius,2021,4423655.0
Mauritius,2022,4501225.0
Mauritius,2023,4329297.5
Mauritius,2024,4761001.5
Mauritius,2025,4733313.5
Mauritius,2026,4837868.0
Mauritius,2027,4979160.5
Mauritius,2028,4650908.0
Mauritius,2029,4804533.0
Mauritius,2030,3934692.8
Mongolia,2021,38088310.0
Mongolia,2022,37036132.0
Mongolia,2023,36972716.0
Mongolia,2024,41873796.0
Mongolia,2025,40118052.0
Mongolia,2026,44007308.0
Mongolia,2027,37780136.0
Mongolia,2028,35229508.0
Mongolia,2029,47819936.0
Mongolia,2030,49176236.0
Morocco,2021,71146264.0
Morocco,2022,56145468.0
Morocco,2023,75339176.0
Morocco,2024,51807556.0
Morocco,2025,87436600.0
Morocco,2026,68570640.0
Morocco,2027,91593790.0
Morocco,2028,97831256.0
Morocco,2029,45105270.0
Morocco,2030,43054468.0
Mozambique,2021,2447544.8
Mozambique,2022,2330030.2
Mozambique,2023,2319402.5
Mozambique,2024,2083796.8
Mozambique,2025,2493364.2
Mozambique,2026,2216939.2
Mozambique,2027,2636031.8
Mozambique,2028,2687688.0
Mozambique,2029,2536363.5
Mozambique,2030,2620023.5
Myanmar,2021,22140090.0
Myanmar,2022,22784150.0
Myanmar,2023,21531558.0
Myanmar,2024,30580174.0
Myanmar,2025,28410950.0
Myanmar,2026,30411986.0
Myanmar,2027,32474532.0
Myanmar,2028,33653724.0
Myanmar,2029,40792230.0
Myanmar,2030,28403296.0
Nepal,2021,5319662.5
Nepal,2022,4281735.5
Nepal,2023,4284929.5
Nepal,2024,5626824.0
Nepal,2025,5612641.0
Nepal,2026,4788753.0
Nepal,2027,5099387.0
Nepal,2028,5546795.0
Nepal,2029,6250145.5
Nepal,2030,6174654.5
Netherlands,2021,169192370.0
Netherlands,2022,169592540.0
Netherlands,2023,169536940.0
Netherlands,2024,165921900.0
Netherlands,2025,170487520.0
Netherlands,2026,168784850.0
Netherlands,2027,170949860.0
Netherlands,2028,169816100.0
Netherlands,2029,168812420.0
Netherlands,2030,160649680.0
New Zealand,2021,36163330.0
New Zealand,2022,34808016.0
New Zealand,2023,30261920.0
New Zealand,2024,37325652.0
New Zealand,2025,37846508.0
New Zealand,2026,37947060.0
New Zealand,2027,39129456.0
New Zealand,2028,38728970.0
New Zealand,2029,29775444.0
New Zealand,2030,35622468.0
